"term","estimate","std.error","statistic","p.value","response","predictors","trans","note","POR"
"(Intercept)",0.0175963532703136,0.505281739543994,0.034824835123062,0.972564647673101,"TNLoad","Q.C44, Q.S308, mean.stg",NA,"all-data","1982-2019"
"Q.C44",6.59878861200773e-08,5.24103561168798e-07,0.12590619680759,0.901063268570891,"TNLoad","Q.C44, Q.S308, mean.stg",NA,"all-data","1982-2019"
"Q.S308",1.98481745606166e-07,1.74261789617753e-07,1.13898603957609,0.268168139221951,"TNLoad","Q.C44, Q.S308, mean.stg",NA,"all-data","1982-2019"
"log(Q.S80)",1.06092545309465,0.0448324041973156,23.6642551763524,4.25558117287704e-16,"TNLoad","Q.C44, Q.S308, mean.stg",NA,"all-data","1982-2019"
"mean.stg",-0.0169493886785214,0.0364189225856036,-0.465400607024588,0.646672421107351,"TNLoad","Q.C44, Q.S308, mean.stg",NA,"all-data","1982-2019"
