"Station.ID","month","mean.TP","sd.TP","N.TP","UCI.TP","LCI.TP","mean.TN","sd.TN","N.TN","UCI.TN","LCI.TN","mean.TSS","sd.TSS","N.TSS","UCI.TSS","LCI.TSS"
"C44S80","01",0.1055625,0.0359646541649763,64,0.114373678359974,0.096751321640026,1.18394444444444,0.320538258386742,63,1.26309567828338,1.10479321060551,8.51052631578947,7.72975260866612,38,10.9681868030788,6.05286582850011
"C44S80","02",0.107969696969697,0.0485281741154938,66,0.119677356235264,0.0962620377041302,1.28043181818182,0.40943186609255,66,1.37920925763933,1.18165437872431,10.2888888888889,17.2896608913354,45,15.3404813856159,5.23729639216193
"C44S80","03",0.113582089552239,0.0513691775447906,67,0.125882321528704,0.101281857575774,1.27236029411765,0.469055170080255,68,1.38384558258657,1.16087500564873,13.4418604651163,16.6979358940835,43,18.4327350035926,8.45098592663999
"C44S80","04",0.117439393939394,0.0424645114411403,66,0.127684164938781,0.107194622940007,1.2365,0.471832854078115,65,1.35120427138242,1.12179572861758,13.6197916666667,13.9067591846376,48,17.5539642418088,9.68561909152448
"C44S80","05",0.13234328358209,0.0715513276752083,67,0.149476085209325,0.115210481954854,1.12231538461538,0.343934581911467,65,1.20592712398536,1.03870364524541,13.1545454545455,10.0033099417248,66,15.5678928853976,10.7411980236934
"C44S80","06",0.178016949152542,0.0834934421388113,59,0.199321601467304,0.156712296837781,1.29434821428571,0.402335770217804,56,1.3997244603988,1.18897196817263,8.625,9.71522067791117,40,11.6357227569559,5.61427724304405
"C44S80","07",0.215793650793651,0.106381868260156,63,0.242062765043104,0.189524536544197,1.35596031746032,0.451548387197366,63,1.46746217737724,1.2444584575434,9.52105263157895,16.3402364913042,38,14.7164004791438,4.32570478401411
"C44S80","08",0.196550724637681,0.0824069058056858,69,0.215994793626714,0.177106655648648,1.36820646766169,0.673343196803414,67,1.52943695481977,1.20697598050361,7.77954545454545,10.60334698246,44,10.9125767008952,4.64651420819574
"C44S80","09",0.220753846153846,0.097456405441297,65,0.244445850390251,0.197061841917442,1.44766129032258,0.384760216730675,62,1.54343413936492,1.35188844128024,8.46590909090909,12.4054928415886,44,12.1314306251339,4.80038755668428
"C44S80","10",0.191967741935484,0.0618663201209621,62,0.207367238765214,0.176568245105754,1.477828125,0.413767880434149,64,1.5791993929513,1.3764568570487,11.21375,15.8381921863188,40,16.1219664188826,6.30553358111735
"C44S80","11",0.154579710144928,0.0615277091563825,69,0.169097292256248,0.140062128033607,1.40507142857143,0.446255347759247,70,1.50961143069628,1.30053142644658,12.0731707317073,21.5273898137959,41,18.6625960109379,5.4837454524767
"C44S80","12",0.113225806451613,0.0394596367148361,62,0.123047928557862,0.103403684345364,1.24240983606557,0.292977381211655,61,1.31593182822814,1.16888784390301,8.91388888888889,16.1402275214584,36,14.1862663296123,3.64151144816544
"S308C","01",0.226666666666667,0.125280193009763,72,0.255604383101249,0.197728950232084,2.25894285714286,0.986334347958507,70,2.49000203738382,2.02788367690189,79.2263888888889,88.2680711945719,72,99.6148984616434,58.8378793161344
"S308C","02",0.209938461538462,0.134132615921133,65,0.242546585039976,0.177330338036947,2.06861538461538,0.711826692660942,65,2.24166302516547,1.8955677440653,67.1661538461538,82.6322486928588,65,87.2543520228667,47.077955669441
"S308C","03",0.210705882352941,0.15210052241891,68,0.246857217419228,0.174554547286655,2.14069565217391,1.11497275493418,69,2.40377563261818,1.87761567172964,61.8434782608696,95.8790329748604,69,84.4663217414987,39.2206347802404
"S308C","04",0.195967105263158,0.082571437173166,76,0.214531087258076,0.177403123268239,1.98407638888889,0.780366723378048,72,2.16432859327637,1.80382418450141,46.5465753424658,45.9398008333605,73,57.0850017961849,36.0081488887466
"S308C","05",0.168771428571429,0.0689057687639003,70,0.184913328605037,0.15262952853782,1.74113076923077,0.519106897385752,65,1.86732753132475,1.61493400713679,38.3333333333333,41.8840295994054,63,48.6758510646783,27.9908156019884
"S308C","06",0.162269841269841,0.0761641280286297,63,0.181077220888342,0.143462461651341,1.648025,0.546096909083149,60,1.78620404418821,1.50984595581179,26.8806451612903,28.8578530875539,62,34.0638171402556,19.697473182325
"S308C","07",0.191114285714286,0.114727723404582,70,0.217990459879408,0.164238111549164,1.60223571428571,0.375628986717647,70,1.69023074956494,1.51424067900649,19.6214285714286,16.7480381101281,70,23.5448323993296,15.6980247435276
"S308C","08",0.164404109589041,0.109195627759382,73,0.189453197119571,0.139355022058511,1.56390410958904,0.4972890232267,73,1.67798043779355,1.44982778138453,18.5985915492958,15.8426142589964,71,22.2836617420237,14.9135213565678
"S308C","09",0.172266666666667,0.0947698967675566,75,0.193714719307074,0.150818614026259,1.56214,0.466405689606481,75,1.66769560493013,1.45658439506987,25.8859154929577,32.032578486707,71,33.336851193835,18.4349797920805
"S308C","10",0.168946153846154,0.0802339413000412,65,0.188451314831483,0.149440992860825,1.60871875,0.430422686999799,64,1.71417037058107,1.50326712941893,26.2380952380952,23.8966688768568,63,32.1389534874763,20.3372369887142
"S308C","11",0.177348484848485,0.0805625399538945,66,0.196784591492515,0.157912378204455,1.92322727272727,0.625900331103543,66,2.0742287877096,1.77222575774495,47.0166666666667,52.6166969209565,66,59.7107020483415,34.3226312849918
"S308C","12",0.202746268656716,0.11900666435166,67,0.231242142023472,0.174250395289961,2.07865671641791,0.72736001573642,67,2.25282140722228,1.90449202561354,69.4828125,81.9333731540984,64,89.5561200642392,49.4095049357608
