"term","estimate","std.error","statistic","p.value","response","predictors","trans","note","POR"
"(Intercept)",-2.48571771580742,0.68201811008425,-3.64465060246033,0.00161205422291411,"TPLoad","Q.C44, Q.S308, log(Q.S80), mean.stg",NA,"all-data","1982-2019"
"Q.C44",-2.82223694742883e-07,7.07423388383989e-07,-0.398945948603118,0.694160649721878,"TPLoad","Q.C44, Q.S308, log(Q.S80), mean.stg",NA,"all-data","1982-2019"
"Q.S308",-5.28595794886703e-08,2.35214707189416e-07,-0.224729057635427,0.82447015437001,"TPLoad","Q.C44, Q.S308, log(Q.S80), mean.stg",NA,"all-data","1982-2019"
"log(Q.S80)",1.22316213451292,0.0605137870384571,20.2129497156671,8.82195246412702e-15,"TPLoad","Q.C44, Q.S308, log(Q.S80), mean.stg",NA,"all-data","1982-2019"
"mean.stg",-0.126307553997558,0.0491574557504376,-2.5694485621631,0.0182946601904629,"TPLoad","Q.C44, Q.S308, log(Q.S80), mean.stg",NA,"all-data","1982-2019"
